season_name,match_id,team,opponent_passes,defensive_actions,ppda
2023,3920416,South Africa,332,36,9.22
2023,3920416,Tunisia,280,30,9.33
2023,3920417,Mali,183,28,6.54
2023,3920417,Namibia,271,42,6.45
2023,3920418,Congo DR,284,40,7.1
2023,3920418,Tanzania,305,22,13.86
2023,3920419,Morocco,195,34,5.74
2023,3920419,Zambia,320,23,13.91
2023,3922237,Angola,282,24,11.75
2023,3922237,Namibia,202,49,4.12
2023,3922238,Cameroon,171,37,4.62
2023,3922238,Nigeria,275,29,9.48
2023,3922239,Equatorial Guinea,238,30,7.93
2023,3922239,Guinea,222,24,9.25
2023,3922240,Congo DR,366,32,11.44
2023,3922240,Egypt,306,32,9.56
2023,3922241,Cape Verde Islands,150,46,3.26
2023,3922241,Mauritania,318,38,8.37
2023,3922242,Côte d'Ivoire,233,64,3.64
2023,3922242,Senegal,443,39,11.36
2023,3922243,Morocco,225,21,10.71
2023,3922243,South Africa,322,24,13.42
2023,3922244,Burkina Faso,308,35,8.8
2023,3922244,Mali,186,32,5.81
2023,3922321,Angola,244,29,8.41
2023,3922321,Nigeria,274,31,8.84
2023,3922356,Congo DR,239,31,7.71
2023,3922356,Guinea,181,22,8.23
2023,3922658,Cape Verde Islands,332,31,10.71
2023,3922658,South Africa,308,40,7.7
2023,3922659,Côte d'Ivoire,495,43,11.51
2023,3922659,Mali,216,53,4.08
2023,3922837,Nigeria,354,36,9.83
2023,3922837,South Africa,291,20,14.55
2023,3922838,Congo DR,251,50,5.02
2023,3922838,Côte d'Ivoire,183,21,8.71
2023,3923880,Congo DR,254,21,12.1
2023,3923880,South Africa,301,16,18.81
2023,3923881,Côte d'Ivoire,146,27,5.41
2023,3923881,Nigeria,300,32,9.38
